date,n,weekday,temperature,sunshinetime,precipitation,rainy_day,Feiertage,holiday,businessday
2013-04-07,756,Sun,3.5,7.3,1.1,TRUE,NA,FALSE,TRUE
2013-04-08,1575,Mon,2.0,8.0,0.0,FALSE,NA,FALSE,TRUE
2013-04-09,1642,Tues,4.2,9.9,0.0,FALSE,NA,FALSE,TRUE
2013-04-10,1500,Wed,5.2,0.0,1.1,TRUE,NA,FALSE,TRUE
2013-04-11,1304,Thurs,6.5,0.0,3.0,TRUE,NA,FALSE,TRUE
2013-04-12,1555,Fri,7.7,1.6,0.2,TRUE,NA,FALSE,FALSE
2013-04-13,545,Sat,6.2,0.0,2.8,TRUE,NA,FALSE,FALSE
2013-04-14,1595,Sun,11.5,7.8,0.0,FALSE,NA,FALSE,TRUE
2013-04-15,2591,Mon,13.9,9.4,6.4,TRUE,NA,FALSE,TRUE
2013-04-16,2264,Tues,12.0,3.8,0.0,FALSE,NA,FALSE,TRUE
2013-04-17,2671,Wed,12.6,8.5,0.0,FALSE,NA,FALSE,TRUE
2013-04-18,2434,Thurs,13.8,8.0,0.0,FALSE,NA,FALSE,TRUE
2013-04-19,1899,Fri,9.0,8.5,0.0,FALSE,NA,FALSE,FALSE
2013-04-20,1429,Sat,5.4,13.5,0.0,FALSE,NA,FALSE,FALSE
2013-04-21,1583,Sun,8.9,11.1,0.0,FALSE,NA,FALSE,TRUE
2013-04-22,3091,Mon,9.4,4.4,0.0,FALSE,NA,FALSE,TRUE
2013-04-23,2293,Tues,10.0,1.4,0.0,FALSE,NA,FALSE,TRUE
2013-04-24,2688,Wed,12.6,9.1,0.0,FALSE,NA,FALSE,TRUE
2013-04-25,2584,Thurs,9.7,10.6,0.0,FALSE,NA,FALSE,TRUE
2013-04-26,1406,Fri,8.5,0.0,12.6,TRUE,NA,FALSE,FALSE
2013-04-27,1176,Sat,6.9,6.9,0.0,FALSE,NA,FALSE,FALSE
2013-04-28,1717,Sun,7.2,11.9,0.0,FALSE,NA,FALSE,TRUE
2013-04-29,2235,Mon,9.9,5.2,0.0,FALSE,NA,FALSE,TRUE
2013-04-30,2473,Tues,8.6,10.9,0.0,FALSE,NA,FALSE,TRUE
2013-05-01,2385,Wed,7.7,13.5,0.0,FALSE,Maifeiertag,TRUE,FALSE
2013-05-02,2417,Thurs,8.8,7.2,0.0,FALSE,NA,FALSE,TRUE
2013-05-03,2686,Fri,8.6,14.6,0.0,FALSE,NA,FALSE,FALSE
2013-05-04,2082,Sat,13.1,12.6,0.0,FALSE,NA,FALSE,FALSE
2013-05-05,1916,Sun,11.8,14.2,0.0,FALSE,NA,FALSE,TRUE
2013-05-06,3039,Mon,14.5,8.2,0.0,FALSE,NA,FALSE,TRUE
2013-05-07,3163,Tues,14.6,9.2,2.0,TRUE,NA,FALSE,TRUE
2013-05-08,3058,Wed,16.9,4.3,0.0,FALSE,NA,FALSE,TRUE
2013-05-09,2148,Thurs,14.5,3.1,12.8,TRUE,Christi Himmelfahrt,TRUE,FALSE
2013-05-10,1909,Fri,13.3,4.7,0.1,TRUE,NA,FALSE,FALSE
2013-05-11,1363,Sat,13.3,0.7,0.3,TRUE,NA,FALSE,FALSE
2013-05-12,1090,Sun,10.5,3.3,0.1,TRUE,NA,FALSE,TRUE
2013-05-13,2428,Mon,10.6,6.2,4.2,TRUE,NA,FALSE,TRUE
2013-05-14,2383,Tues,10.8,6.1,0.2,TRUE,NA,FALSE,TRUE
2013-05-15,3108,Wed,17.9,13.6,0.0,FALSE,NA,FALSE,TRUE
2013-05-16,3245,Thurs,18.4,11.6,0.0,FALSE,NA,FALSE,TRUE
2013-05-17,2833,Fri,21.1,10.3,0.0,FALSE,NA,FALSE,FALSE
2013-05-18,1286,Sat,16.4,4.2,11.8,TRUE,NA,FALSE,FALSE
2013-05-19,1153,Sun,12.0,0.0,0.0,FALSE,NA,FALSE,TRUE
2013-05-20,1306,Mon,12.5,1.1,2.5,TRUE,Pfingstmontag,TRUE,FALSE
2013-05-21,1470,Tues,13.0,0.0,2.3,TRUE,NA,FALSE,TRUE
2013-05-22,977,Wed,10.0,0.0,29.5,TRUE,NA,FALSE,TRUE
2013-05-23,2385,Thurs,8.9,8.5,0.0,FALSE,NA,FALSE,TRUE
2013-05-24,2514,Fri,10.9,15.1,3.6,TRUE,NA,FALSE,FALSE
2013-05-25,515,Sat,11.1,0.0,22.0,TRUE,NA,FALSE,FALSE
2013-05-26,459,Sun,11.2,0.1,9.0,TRUE,NA,FALSE,TRUE
2013-05-27,2963,Mon,12.2,14.2,0.0,FALSE,NA,FALSE,TRUE
2013-05-28,2463,Tues,11.8,2.3,3.0,TRUE,NA,FALSE,TRUE
2013-05-29,1980,Wed,14.2,5.5,6.7,TRUE,NA,FALSE,TRUE
2013-05-30,2779,Thurs,12.9,8.0,0.0,FALSE,NA,FALSE,TRUE
2013-05-31,2633,Fri,12.4,8.7,0.0,FALSE,NA,FALSE,FALSE
2013-06-01,2109,Sat,13.8,11.3,0.9,TRUE,NA,FALSE,FALSE
2013-06-02,891,Sun,12.4,1.7,0.0,FALSE,NA,FALSE,TRUE
2013-06-03,2684,Mon,12.5,11.7,0.0,FALSE,NA,FALSE,TRUE
2013-06-04,3196,Tues,14.0,10.9,0.0,FALSE,NA,FALSE,TRUE
2013-06-05,3405,Wed,14.5,16.1,0.0,FALSE,NA,FALSE,TRUE
2013-06-06,3708,Thurs,14.9,16.4,0.0,FALSE,NA,FALSE,TRUE
2013-06-07,3374,Fri,14.9,16.3,0.0,FALSE,NA,FALSE,FALSE
2013-06-08,2425,Sat,14.6,14.9,0.0,FALSE,NA,FALSE,FALSE
2013-06-09,1641,Sun,13.6,6.5,0.0,FALSE,NA,FALSE,TRUE
2013-06-10,3411,Mon,15.2,15.1,0.0,FALSE,NA,FALSE,TRUE
2013-06-11,3386,Tues,14.5,8.8,0.0,FALSE,NA,FALSE,TRUE
2013-06-12,3591,Wed,18.1,12.6,0.5,TRUE,NA,FALSE,TRUE
2013-06-13,2034,Thurs,18.3,1.6,22.5,TRUE,NA,FALSE,TRUE
2013-06-14,2073,Fri,15.4,8.2,0.0,FALSE,NA,FALSE,FALSE
2013-06-15,1801,Sat,16.3,11.2,4.4,TRUE,NA,FALSE,FALSE
2013-06-16,1413,Sun,14.9,8.6,0.1,TRUE,NA,FALSE,TRUE
2013-06-17,2110,Mon,14.9,10.0,0.0,FALSE,NA,FALSE,TRUE
2013-06-18,3521,Tues,17.8,10.2,0.0,FALSE,NA,FALSE,TRUE
2013-06-19,3577,Wed,23.2,11.2,16.7,TRUE,NA,FALSE,TRUE
2013-06-20,3137,Thurs,19.4,11.6,3.4,TRUE,NA,FALSE,TRUE
2013-06-21,2540,Fri,20.2,5.8,0.9,TRUE,NA,FALSE,FALSE
2013-06-22,2112,Sat,19.1,6.2,0.7,TRUE,NA,FALSE,FALSE
2013-06-23,1709,Sun,17.9,5.0,0.0,FALSE,NA,FALSE,TRUE
2013-06-24,2992,Mon,15.7,8.5,2.3,TRUE,NA,FALSE,TRUE
2013-06-25,2333,Tues,15.0,0.0,13.1,TRUE,NA,FALSE,TRUE
2013-06-26,1799,Wed,14.2,2.3,0.0,FALSE,NA,FALSE,TRUE
2013-06-27,2488,Thurs,13.2,3.1,0.1,TRUE,NA,FALSE,TRUE
2013-06-28,2569,Fri,14.2,6.1,2.3,TRUE,NA,FALSE,FALSE
2013-06-29,927,Sat,14.0,2.7,1.6,TRUE,NA,FALSE,FALSE
2013-06-30,1095,Sun,13.6,3.3,2.2,TRUE,NA,FALSE,TRUE
2013-07-01,2623,Mon,16.4,6.3,0.0,FALSE,NA,FALSE,TRUE
2013-07-02,3261,Tues,15.4,10.5,0.0,FALSE,NA,FALSE,TRUE
